"","/Data/Blocks/TURB-1/Input/PRES","/Data/Blocks/TURB-2/Input/PRES","status","/Data/Flowsheeting Options/Calculator/EFFCALC/Output/WRITE_VAL/6"
"1",90,2,-1,0
"2",117.5,2,-1,0
"3",145,2,-1,0
"4",172.5,2,-1,0
"5",200,2,-1,0
"6",90,9,-1,0
"7",117.5,9,-1,0
"8",145,9,-1,0
"9",172.5,9,-1,0
"10",200,9,-1,0
"11",90,16,-1,0
"12",117.5,16,-1,0
"13",145,16,-1,0
"14",172.5,16,-1,0
"15",200,16,-1,0
"16",90,23,-1,0
"17",117.5,23,-1,0
"18",145,23,-1,0
"19",172.5,23,-1,0
"20",200,23,-1,0
"21",90,30,-1,0
"22",117.5,30,-1,0
"23",145,30,-1,0
"24",172.5,30,-1,0
"25",200,30,-1,0
